Deyimler;Türkçe Anlamı
Ekmeğini taştan çıkarmak;En zor işleri bile yapıp geçimini sağlayacak becerilikte olmak, her türlü işi yapmak
Ekmek elden su gölden;Kendisi kazanmayıp başkalarının kazancı ile geçinen
 Ortalıkta kimse kalmamak, ıssızlaşıp sessizleşmek;Çalışıp para kazanılan, geçim sağlayan iş yeri
Ekmek parası;Kazanç, geçinmek için kazanılan para
Eksik gedik;Ufak tefek ihtiyaçlar
El açmak;Dilenmek
El altından;Kimsenin haberi olmadan, gizlice
El atmak;Bir işe girişmek
El ayak çekilmek; Ortalıkta kimse kalmamak, ıssızlaşıp sessizleşmek
Elde avuçta bir şey kalmamak;Parasını, malını, tüm varlığını harcayıp bitirmiş olmak
Elde etmek;Bir şeye sahip olmak
Elden ayaktan düşmek;Yaşlılık, hastalık sebebiyle iş yapamaz, yürüyemez, kendi işini göremez duruma gelmek
Elden geçirmek;"Eksiklikleri düzeltmek, onarmak; denetlemek için pek çok şeyi ele alıp yoklamak, gözden geçirmek"
Ele avuca sığmamak;Söz dinlememek, kural tanımamak, zapt edilememek
Ele vermek;Bulunduğu yeri haber vererek suçluyu yakalatmak
Eli açık;Cömert
Eli ağır;Oldukça yavaş iş yapan
Eli altında olmak;İstediği anda ele alıp kullanabileceği bir yerde bulunmak
Eli ayağı buz kesilmek;Korku, heyecan ve üzüntüden ne yapacağını bilemez duruma gelmek, donup kalmak
Eli ayağı tutmak;İş yapabilecek güçte olmak, bedenî gücü var olmak
Eli bol;Cömert, esirgemeyen, çok para ve eşyası olan
Eli boş dönmek;Umduğunu alamadan geri dönmek
Eli çabuk;Süratli iş gören
Eli darda;Geçimi için para sıkıntısı çeken
Eli hafif;İncitmeden, can yakmadan iş gören
Elinden tutmak;Destek olmak, ilerlemesi için yardımda bulunmak
Eline düşmek;Birine muhtaç olmak
Elini çabuk tutmak;Hızlı davranmak, acele etmek
Elini kana bulamak;Birini öldürmek veya yaralamak
Elini kolunu sallaya sallaya gezmek;Pervasızca, çekinmeden, kimseden korkmadan dolaşmak
Elini sıcak sudan soğuk suya sokmamak;Çok nazlı olmak, evde hiçbir iş yapmamak, zor işlerden kaçınmak
Eli sıkı;Kolay para harcamayan, cimri, çok tutumlu
Eli uzun;Hırsız, fırsat buldukça bir şeyler aşırmaktan geri kalmayan
Eli varmamak;Bir işi yapmaya gönlü razı olmamak
El kadar;Küçük, küçücük
El oğlu;Yabancı
El üstünde tutulmak;Çok değer verilip sevilmek, kendisine büyük ölçüde saygı gösterilmek
Emir kulu;Kendisine emredilen işi yapmak zorunda olan kimse
Enine boyuna;Her yönü ile, eksiksiz, bütün ihtimalleri göz önünde tutarak
Esip savurmak;Bağırıp çağırmak, öfke ile atıp tutmak
Eski defterleri karıştırmak;Eski olayları, işleri bir çıkar umuduyla tekrar ele almak, yeniden gündeme getirmek
Eski hamam eski tas;Hiçbir şey değişmemiş, eski durumda kalmış
Eski kafalı;Yeniliğe açık olmayan, yaşayış ve düşünce itibariyle eskiye bağlı
Eski toprak;Yaşlılığına rağmen dinçliğini, dayanıklılığını hâlâ sürdüren, gücünü kaybetmemiş kimse
Eşeğini sağlam kazığa bağlamak;İşini güvenli kılacak önlemler almak
Eşiğini aşındırmak;Bir işi yaptırmak, gördürmek için bir yere çok gidip gelmek
Eşref saat;İş görecek kimsenin uysal davranacağı, aksilik çıkarmayacağı zaman
Etekleri tutuşmak;Çok telâşlanmak, heyecanlanmak
Etekleri zil çalmak;Çok sevinmek, işler yolunda olmak
Etliye sütlüye karışmamak;Kendini ilgilendirmeyen meselelerden, toplumu derinden etkileyen olaylardan uzak durmak, kaçınmak ve hiçbiriyle ilgilenmemek
Et tırnak olmak;Sıkı bir ilişkiye girmek, birbirinden kopmamak
Ettiğini bulmak;Yaptığı bir kötülüğün cezasını görmek
